"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Charles Bassey","SAS",36,10.4,0.581,0.9,4.2,0.5,1.2,4.4,4.4,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Tony Bradley","IND",14,8.1,0.644,0.4,3,0.4,0.7,4.4,4.2,0,0,2.9409,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Reggie Jackson","PHI",31,12.4,0.391,0.3,1.4,1.5,0.6,4.4,5.45,0,0,NA,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Reed Sheppard","HOU",52,12.6,0.351,0.3,1.5,1.4,1,4.4,5.9,0,0,11.918,0,0,0,0,0,1,0,0,NA,"0 awards"
"Lamar Stevens","MEM",17,9.1,0.46,0.6,2.2,0.5,0.5,4.4,3.5,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Mo Bamba","2TM",32,12.9,0.464,0.8,4.5,0.6,1.3,4.3,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Jevon Carter","CHI",36,8.9,0.377,0.3,1.1,1.1,0.5,4.3,6,0,0,6.8095,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Micah Potter","UTA",38,18.6,0.422,0.5,4.3,0.8,0.8,4.3,4.1,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Terrence Shannon Jr.","MIN",32,10.6,0.482,0.7,1.5,1,0.4,4.3,3.6,0,0,3.51,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Daniel Theis","NOP",38,16.3,0.473,1,4.3,1.6,1,4.3,3.55,0,0,NA,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Torrey Craig","2TM",26,12.1,0.422,0.5,2.8,0.7,0.8,4.2,NA,0,0,NA,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Wendell Moore Jr.","2TM",36,13.9,0.468,0.6,2.6,1.2,0.7,4.2,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Dominick Barlow","ATL",35,10.7,0.531,0.9,2.4,0.5,0.8,4.2,5,0,0,NA,0,0,0,0,1,0,0,0,NA,"0 awards"
"Kessler Edwards","DAL",40,15.2,0.496,0.3,2.9,1.1,1,4.2,5.1,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Oso Ighodaro","PHO",61,17.1,0.604,0.8,3.6,1.2,1,4.2,5.43,0,0,2.2462,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Kris Murray","POR",69,15.1,0.419,0.8,2.6,1,0.7,4.2,4.25,0,0,4.2235,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Duop Reath","POR",46,10.2,0.422,0.5,2,0.6,0.6,4.2,4.25,0,0,2.2217,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Cam Spencer","MEM",25,10.1,0.415,0.8,1.2,1.4,0.4,4.2,3.5,0,0,2.5991,1,0,0,0,0,0,0,1,"Age_1","0 awards"
