Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Gui Santos,22.0,GSW,56.0,2.0,13.6,3.2,0.458,0.8,3.1,1.4,0.6,4.1,11.0,,0,1,0,0,2.2217,1,0,0,0,1,0,0,0
Jarred Vanderbilt,25.0,LAL,36.0,2.0,16.1,3.4,0.488,1.0,5.1,1.1,1.3,4.1,10.0,,0,1,0,0,12.4286,1,0,0,0,1,0,0,0
Colby Jones,22.0,2TM,39.0,0.0,13.2,3.3,0.457,0.9,2.2,1.1,1.0,4.0,,,0,1,0,0,,1,0,0,0,0,0,0,1
Nicolas Batum,36.0,LAC,78.0,8.0,17.5,3.1,0.437,0.3,2.8,1.1,1.2,4.0,7.5,,0,1,0,0,5.7416,0,0,0,1,1,0,0,0
Malachi Flynn,26.0,CHO,4.0,0.0,11.0,3.3,0.385,1.5,1.8,1.8,0.8,4.0,3.8,,0,1,0,0,,1,0,0,0,0,1,0,0
Ron Harper Jr.,24.0,DET,1.0,0.0,17.0,8.0,0.125,2.0,7.0,2.0,0.0,4.0,3.65,,0,1,0,0,,1,0,0,0,0,0,1,0
Josh Richardson,31.0,MIA,8.0,0.0,18.8,4.8,0.289,0.5,1.5,1.5,1.1,4.0,5.7,,0,1,0,0,,0,1,0,0,0,0,0,1
Steven Adams,31.0,HOU,58.0,3.0,13.7,2.9,0.545,1.6,5.6,1.1,0.9,3.9,5.9,,0,1,0,0,13.0,0,1,0,0,0,0,0,0
Kyle Lowry,38.0,PHI,35.0,12.0,18.8,3.3,0.35,0.9,1.9,2.7,1.2,3.9,5.45,,0,1,0,0,2.2963,0,0,0,1,0,1,0,0
Olivier-Maxence Prosper,22.0,DAL,52.0,4.0,11.2,3.3,0.402,1.5,2.4,0.8,0.6,3.9,5.1,,0,1,0,0,1.0024,1,0,0,0,1,0,0,0
